0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23
160.0,0.0,24.0,28.0,36.0,52.0,232.0,700.0,992.0,3096.0,8704.0,17688.0,22748.0,26084.0,25168.0,21500.0,17396.0,11460.0,7940.0,4996.0,2848.0,1388.0,392.0,128.0
44.0,16.0,4.0,4.0,8.0,68.0,276.0,412.0,1124.0,2012.0,4016.0,5540.0,6336.0,5116.0,5984.0,5064.0,4196.0,4464.0,5888.0,5020.0,3276.0,1336.0,436.0,60.0
20.0,32.0,4.0,4.0,28.0,56.0,192.0,224.0,748.0,1528.0,3176.0,4172.0,3828.0,3088.0,2644.0,2348.0,2060.0,1960.0,2360.0,1752.0,1276.0,476.0,88.0,12.0
16.0,28.0,12.0,12.0,48.0,104.0,712.0,692.0,1668.0,4704.0,9336.0,9448.0,9108.0,8584.0,7248.0,6572.0,5476.0,5816.0,5568.0,2856.0,1560.0,604.0,272.0,12.0
364.0,132.0,84.0,20.0,36.0,76.0,172.0,608.0,1820.0,3992.0,8316.0,14140.0,17624.0,16980.0,15952.0,15228.0,11556.0,8560.0,6632.0,5276.0,3732.0,2396.0,1472.0,656.0
84.0,80.0,104.0,80.0,56.0,140.0,104.0,128.0,288.0,912.0,1580.0,2084.0,2432.0,2596.0,2548.0,1896.0,1676.0,1284.0,1108.0,828.0,708.0,264.0,152.0,88.0
19848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,4564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,9016.0,6636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
