id, count, latitude, longitude
0,22436,60.30352545,24.55039101
1,8207,60.27581963,24.46368928
2,3854,60.2981904,24.45628975
3,10127,60.282422,24.50587379
4,16374,60.32692454,24.49535836
5,2218,60.33073081,24.49283805
6,8322,60.31295694,24.44728186
7,7860,60.24969716,24.69830756
