monday, tuesday, wednesday, thursday, friday, saturday, sunday
12060.0,14307.0,12492.0,12648.0,17781.0,29334.0,31698.0
4818.0,5829.0,5556.0,5499.0,5883.0,7914.0,10026.0
2739.0,3042.0,3549.0,2679.0,3102.0,4086.0,4860.0
4746.0,9408.0,6552.0,6750.0,7350.0,13395.0,12141.0
10236.0,11313.0,10671.0,9738.0,14376.0,22983.0,22551.0
1428.0,2052.0,1458.0,1764.0,2100.0,3549.0,3564.0
1434.0,3423.0,0.0,0.0,0.0,0.0,17577.0
4611.0,0.0,4686.0,0.0,969.0,0.0,2076.0
